iter	RMSE
0	2.17512681
1	2.047265148
2	1.935515707
3	1.825831338
4	1.729075532
5	1.633915129
6	1.5548981
7	1.478362606
8	1.404289929
9	1.346873491
10	1.2883055
11	1.234456898
12	1.178895281
13	1.132779158
14	1.091397176
15	1.049184616
16	1.025445408
17	0.9912266593
18	0.9649298915
19	0.9380785688
20	0.9163135614
21	0.8880239989
22	0.8698099454
23	0.8514083995
24	0.8315663675
25	0.8162107688
26	0.7995002987
27	0.784566192
28	0.7706985829
29	0.7577806448
30	0.7449541787
31	0.7349659857
32	0.7236718553
33	0.7131106651
34	0.7041555316
35	0.6946478239
36	0.6864813173
37	0.6755790269
38	0.6686795341
39	0.6642216621
40	0.6578469287
41	0.6504856751
42	0.6444836564
43	0.6392853815
44	0.6339723024
45	0.6293905055
46	0.6248639197
47	0.6200413025
48	0.618064254
49	0.6153803549
50	0.6100254701
51	0.6065063178
52	0.6030189243
53	0.5994967944
54	0.5969067295
55	0.593971666
56	0.5904225043
57	0.5866200293
58	0.5829293718
59	0.5806877101
60	0.5771377637
61	0.575529249
62	0.5725179897
63	0.5693655633
64	0.5669622507
65	0.565375898
66	0.5630420927
67	0.5614578872
68	0.5593228007
69	0.5579159908
70	0.5561399248
71	0.5540226582
72	0.5531056135
73	0.5513710668
74	0.5494904897
75	0.546690483
76	0.5447271834
77	0.542649402
78	0.5410005364
79	0.5394809924
80	0.5366478646
81	0.5346119289
82	0.5319770533
83	0.5298100332
84	0.5277083265
85	0.526816461
86	0.524507576
87	0.5230072374
88	0.5204338101
89	0.5187587399
90	0.5156424937
91	0.5126421762
92	0.5106560689
93	0.5085945293
94	0.5068988651
95	0.5044952158
96	0.5024199225
97	0.5005985584
98	0.4983136927
99	0.4955750874
