iter	Passed	Remaining
0	147	14651
1	148	7287
2	149	4833
3	150	3605
4	151	2870
5	151	2378
6	152	2029
7	153	1769
8	154	1562
9	155	1396
10	155	1261
11	156	1147
12	157	1052
13	158	973
14	159	902
15	159	839
16	160	785
17	161	736
18	162	692
19	162	651
20	163	614
21	164	582
22	164	551
23	165	523
24	166	498
25	166	473
26	167	452
27	168	432
28	169	413
29	169	396
30	170	380
31	171	365
32	173	351
33	173	337
34	174	324
35	175	312
36	176	300
37	177	289
38	178	278
39	178	268
40	179	258
41	180	248
42	181	239
43	181	231
44	182	223
45	183	215
46	184	207
47	185	200
48	186	194
49	187	187
50	188	181
51	189	175
52	190	168
53	191	163
54	192	157
55	193	151
56	194	146
57	194	141
58	195	135
59	196	130
60	197	126
61	198	121
62	199	116
63	200	112
64	201	108
65	202	104
66	203	100
67	204	96
68	205	92
69	205	88
70	206	84
71	207	80
72	208	77
73	209	73
74	209	69
75	210	66
76	211	63
77	212	59
78	213	56
79	214	53
80	215	50
81	216	47
82	217	44
83	218	41
84	232	41
85	233	38
86	234	35
87	235	32
88	236	29
89	236	26
90	237	23
91	238	20
92	238	17
93	239	15
94	240	12
95	241	10
96	241	7
97	242	4
98	243	2
99	244	0
